Name,ID,Image Filename
Treasure fairy,154,npc_154.png
Jacky Jester,155,npc_155.png
Prison Pete,368,npc_368.png
Balloon Animal,369,npc_369.png
Balloon Animal,370,npc_370.png
Balloon Animal,371,npc_371.png
Freaky Forester,372,npc_372.png
Pheasant,373,npc_373.png
Pheasant,374,npc_374.png
Rick Turpentine,375,npc_375.png
Rick Turpentine,376,npc_376.png
Bee keeper,377,npc_377.png
Quiz Master,379,npc_379.png
Pillory Guard,380,npc_380.png
Tramp,381,npc_381.png
Tramp,382,npc_382.png
Tramp,383,npc_383.png
Man,385,npc_385.png
Avan,386,npc_386.png
Avan,387,npc_387.png
Evil Bob,390,npc_390.png
Servant,391,npc_391.png
Servant,392,npc_392.png
Servant,393,npc_393.png
Banker,394,npc_394.png
Banker,395,npc_395.png
Banker,396,npc_396.png
Banker,397,npc_397.png
Banker,398,npc_398.png
Banker,399,npc_399.png
Red dragon,250,npc_250.png
Red dragon,251,npc_251.png
Black dragon,252,npc_252.png
Black dragon,253,npc_253.png
Black dragon,254,npc_254.png
Black dragon,255,npc_255.png
Black dragon,256,npc_256.png
Black dragon,257,npc_257.png
Black dragon,258,npc_258.png
Black dragon,259,npc_259.png
Green dragon,260,npc_260.png
Green dragon,261,npc_261.png
Green dragon,262,npc_262.png
Green dragon,263,npc_263.png
Green dragon,264,npc_264.png
Blue dragon,265,npc_265.png
Blue dragon,266,npc_266.png
Blue dragon,267,npc_267.png
Blue dragon,268,npc_268.png
Blue dragon,269,npc_269.png
Bronze dragon,270,npc_270.png
Bronze dragon,271,npc_271.png
Iron dragon,272,npc_272.png
Iron dragon,273,npc_273.png
Steel dragon,274,npc_274.png
Steel dragon,275,npc_275.png
Town crier,276,npc_276.png
Town crier,277,npc_277.png
Town crier,278,npc_278.png
Town crier,279,npc_279.png
Town crier,280,npc_280.png
Gull,281,npc_281.png
Cormorant,282,npc_282.png
Pelican,283,npc_283.png
Gull,284,npc_284.png
Gull,285,npc_285.png
Gull,286,npc_286.png
Cormorant,287,npc_287.png
Pelican,288,npc_288.png
Ghoul,289,npc_289.png
Dwarf,290,npc_290.png
Chaos dwarf,291,npc_291.png
Dwarf,292,npc_292.png
Dwarf,293,npc_293.png
Dwarf,294,npc_294.png
Dwarf,295,npc_295.png
Dwarf,296,npc_296.png
Thordur,297,npc_297.png
Thordur,298,npc_298.png
Banker,400,npc_400.png
Turael,401,npc_401.png
Mazchna,402,npc_402.png
Vannaka,403,npc_403.png
Chaeldar,404,npc_404.png
Duradel,405,npc_405.png
Cave crawler,406,npc_406.png
Cave crawler,407,npc_407.png
Cave crawler,408,npc_408.png
Cave crawler,409,npc_409.png
Kurask,410,npc_410.png
Kurask,411,npc_411.png
Gargoyle,412,npc_412.png
Gargoyle,413,npc_413.png
Banshee,414,npc_414.png
Abyssal demon,415,npc_415.png
Abyssal demon,416,npc_416.png
Basilisk,417,npc_417.png
Basilisk,418,npc_418.png
Cockatrice,419,npc_419.png
Cockatrice,420,npc_420.png
Rockslug,421,npc_421.png
Rockslug,422,npc_422.png
Dust devil,423,npc_423.png
Dust devil,424,npc_424.png
Turoth,426,npc_426.png
Turoth,427,npc_427.png
Turoth,428,npc_428.png
Turoth,429,npc_429.png
Turoth,430,npc_430.png
Turoth,431,npc_431.png
Turoth,432,npc_432.png
Pyrefiend,433,npc_433.png
Pyrefiend,434,npc_434.png
Pyrefiend,435,npc_435.png
Pyrefiend,436,npc_436.png
Jelly,437,npc_437.png
Jelly,438,npc_438.png
Jelly,439,npc_439.png
Jelly,440,npc_440.png
Jelly,441,npc_441.png
Jelly,442,npc_442.png
Infernal Mage,443,npc_443.png
Infernal Mage,444,npc_444.png
Infernal Mage,445,npc_445.png
Infernal Mage,446,npc_446.png
Infernal Mage,447,npc_447.png
Jailer,300,npc_300.png
Speedy Keith,303,npc_303.png
Witch,305,npc_305.png
Lumbridge Guide,306,npc_306.png
Dr Jekyll,307,npc_307.png
Ayesha,310,npc_310.png
Adam,311,npc_311.png
Frog,312,npc_312.png
Dr Jekyll,314,npc_314.png
Emblem Trader,316,npc_316.png
Paul,317,npc_317.png
Dark core,318,npc_318.png
Corporeal Beast,319,npc_319.png
Mime,321,npc_321.png
Drunken Dwarf,322,npc_322.png
Strange plant,323,npc_323.png
Genie,326,npc_326.png
Genie,327,npc_327.png
Swarm,330,npc_330.png
Strange watcher,332,npc_332.png
Strange watcher,333,npc_333.png
Strange watcher,334,npc_334.png
Sergeant Damien,337,npc_337.png
Rick,221,npc_221.png
Maid,223,npc_223.png
Butler,227,npc_227.png
Demon butler,229,npc_229.png
Wolf,231,npc_231.png
Jungle Wolf,232,npc_232.png
Macaroni Penguin,233,npc_233.png
Black Demon,240,npc_240.png
Red dragon,247,npc_247.png
Red dragon,248,npc_248.png
Red dragon,249,npc_249.png
Tool Leprechaun,0,npc_0.png
Molanisk,1,npc_1.png
Aberrant spectre,2,npc_2.png
Aberrant spectre,3,npc_3.png
Aberrant spectre,4,npc_4.png
Aberrant spectre,5,npc_5.png
Aberrant spectre,6,npc_6.png
Aberrant spectre,7,npc_7.png
Nechryael,8,npc_8.png
Twig,9,npc_9.png
Death spawn,10,npc_10.png
