Name,ID,Image URL
Tool Leprechaun,0,https://everythingrs.com/img/npc_32/Tool_Leprechaun.png
Molanisk,1,https://everythingrs.com/img/npc_32/Molanisk.png
Aberrant spectre,2,https://everythingrs.com/img/npc_32/Aberrant_spectre.png
Aberrant spectre,3,https://everythingrs.com/img/npc_32/Aberrant_spectre.png
Aberrant spectre,4,https://everythingrs.com/img/npc_32/Aberrant_spectre.png
Aberrant spectre,5,https://everythingrs.com/img/npc_32/Aberrant_spectre.png
Aberrant spectre,6,https://everythingrs.com/img/npc_32/Aberrant_spectre.png
Aberrant spectre,7,https://everythingrs.com/img/npc_32/Aberrant_spectre.png
Nechryael,8,https://everythingrs.com/img/npc_32/Nechryael.png
Twig,9,https://everythingrs.com/img/npc_32/Twig.png
Death spawn,10,https://everythingrs.com/img/npc_32/Death_spawn.png
Nechryael,11,https://everythingrs.com/img/npc_32/Nechryael.png
Hudo,12,https://everythingrs.com/img/npc_32/Hudo.png
Piles,13,https://everythingrs.com/img/npc_32/Piles.png
Rometti,14,https://everythingrs.com/img/npc_32/Rometti.png
Gulluck,15,https://everythingrs.com/img/npc_32/Gulluck.png
Heckel Funch,16,https://everythingrs.com/img/npc_32/Heckel_Funch.png
Rug Merchant,17,https://everythingrs.com/img/npc_32/Rug_Merchant.png
Rug Merchant,18,https://everythingrs.com/img/npc_32/Rug_Merchant.png
Rug Merchant,19,https://everythingrs.com/img/npc_32/Rug_Merchant.png
Rug Merchant,20,https://everythingrs.com/img/npc_32/Rug_Merchant.png
Null,21,https://everythingrs.com/img/npc_32/Null.png
Merchant,22,https://everythingrs.com/img/npc_32/Merchant.png
Monkey,23,https://everythingrs.com/img/npc_32/Monkey.png
Null,24,https://everythingrs.com/img/npc_32/Null.png
Null,25,https://everythingrs.com/img/npc_32/Null.png
Zombie,26,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,27,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,28,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,29,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,30,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,31,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,32,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,33,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,34,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,35,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,36,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,37,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,38,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,39,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,40,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,41,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,42,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,43,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,44,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,45,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,46,https://everythingrs.com/img/npc_32/Zombie.png
Zombie,47,https://everythingrs.com/img/npc_32/Zombie.png
